binomial,latitude,area,order,family,ebird_name,treelabels,clumin,clumax,bodmin,bodmax,is,migratory,mode,land,clu_geom,mass_geom
Merops breweri,0.7053464273010458,1622984127049.58,Coraciiformes,Meropidae,Merops_breweri,Merops_breweri,2,3,54,54,N,NA,altricial,land,2.449489742783178,54.00000000000001
Merops bullockoides,-13.510629299893775,5309063952393.07,Coraciiformes,Meropidae,Merops_bullockoides,Merops_bullockoides,2,5,28,38,N,NA,altricial,land,3.162277660168379,32.619012860600186
Merops bulocki,9.942073207136074,2933881404273.08,Coraciiformes,Meropidae,Merops_bulocki,Merops_bulocki,1,5,21,28,N,NA,altricial,land,2.23606797749979,24.24871130596428
Merops gularis,1.292355045665135,3020920216206.56,Coraciiformes,Meropidae,Merops_gularis,Merops_gularis,2,2,25,34,N,NA,altricial,land,2,29.154759474226495
Merops hirundineus,-7.934932497274439,8547528930858.08,Coraciiformes,Meropidae,Merops_hirundineus,Merops_hirundineus,2,4,18,29,N,NA,altricial,land,2.82842712474619,22.84731931759172
Merops leschenaulti,16.72749708338716,2782280857873.08,Coraciiformes,Meropidae,Merops_leschenaulti,Merops_leschenaulti,4,8,23,33,N,migratory,altricial,land,5.656854249492379,27.549954627911816
Merops malimbicus,0.5010886059089411,1102873713386.21,Coraciiformes,Meropidae,Merops_malimbicus,Merops_malimbicus,2,2,45,45,N,NA,altricial,land,2,44.99999999999999
Merops muelleri,0.6223252781973241,1596404617527.78,Coraciiformes,Meropidae,Merops_muelleri,Merops_muelleri,3,3,24,33,N,NA,altricial,land,3.0000000000000004,28.14249455894058
Merops nubicus,10.722439694390513,6716123988011.56,Coraciiformes,Meropidae,Merops_nubicus,Merops_nubicus,2,5,34,59,N,migratory,altricial,land,3.162277660168379,44.78839135311739
Merops oreobates,-0.6680364409879848,360934322137.736,Coraciiformes,Meropidae,Merops_oreobates,Merops_oreobates,2,3,25,29,N,NA,altricial,land,2.449489742783178,26.92582403567252
Merops orientalis,21.761325003918444,5694879177672.49,Coraciiformes,Meropidae,Merops_orientalis,Merops_orientalis,3,7,14.5,27,N,NA,altricial,land,4.58257569495584,19.786358937409386
Merops ornatus,-25.086871148587527,6430300267349.3,Coraciiformes,Meropidae,Merops_ornatus,Merops_ornatus,3,7,20,33,N,migratory,altricial,land,4.58257569495584,25.690465157330255
Merops persicus,33.58283474881459,3644229566426.85,Coraciiformes,Meropidae,Merops_persicus,Merops_persicus,4,8,38,56,N,migratory,altricial,land,5.656854249492379,46.13025037868319
Merops philippinus,18.989357195105068,4213514267611.7,Coraciiformes,Meropidae,Merops_philippinus,Merops_philippinus,5,7,29,43,N,migratory,altricial,land,5.916079783099615,35.31288716601915
Merops pusillus,-1.0277839350497584,14396789538414.5,Coraciiformes,Meropidae,Merops_pusillus,Merops_pusillus,4,6,13,19,N,NA,altricial,land,4.898979485566356,15.716233645501706
